,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
307,01/09/18,13.8,-0.6%,3.3%,6.7%,Abando
308,01/08/18,13.8,3.8%,5.4%,5.4%,Abando
309,01/07/18,13.3,n.d.,-1.6%,"2,00%",Abando
310,01/06/18,13.3,1.5%,0.9%,2.6%,Abando
311,01/05/18,13.1,"-3,00%",2.2%,1.7%,Abando
312,01/04/18,13.5,2.5%,2.6%,"6,00%",Abando
313,01/03/18,13.2,2.8%,-2.1%,5.7%,Abando
314,01/02/18,12.9,-2.7%,-4.4%,-2.9%,Abando
315,01/01/18,13.2,-2.2%,-0.2%,-1.5%,Abando
316,01/12/17,13.5,0.4%,4.6%,3.2%,Abando
317,01/11/17,13.4,1.6%,2.3%,2.7%,Abando
318,01/10/17,13.2,2.6%,1.2%,1.3%,Abando
319,01/09/17,12.9,-1.8%,-0.7%,2.6%,Abando
320,01/08/17,13.1,0.5%,1.7%,5.1%,Abando
321,01/07/17,13.1,0.6%,2.3%,6.2%,Abando
322,01/06/17,13.0,0.6%,"4,00%",6.1%,Abando
323,01/05/17,12.9,"1,00%",-2.4%,4.7%,Abando
324,01/04/17,12.8,2.3%,-4.7%,3.9%,Abando
325,01/03/17,12.5,-5.6%,-4.4%,1.6%,Abando
326,01/02/17,13.2,-1.3%,1.1%,"9,00%",Abando
327,01/01/17,13.4,2.6%,2.6%,11.4%,Abando
328,01/12/16,13.1,-0.1%,"4,00%",9.7%,Abando
329,01/11/16,13.1,0.2%,4.7%,"8,00%",Abando
330,01/10/16,13.1,3.9%,6.2%,8.9%,Abando
331,01/09/16,12.6,0.6%,2.6%,4.8%,Abando
332,01/08/16,12.5,1.6%,1.4%,2.9%,Abando
333,01/07/16,12.3,0.5%,n.d.,-3.3%,Abando
334,01/06/16,12.3,-0.7%,-0.5%,-5.8%,Abando
335,01/05/16,12.3,0.2%,1.6%,-5.7%,Abando
336,01/04/16,12.3,n.d.,2.2%,-5.9%,Abando
337,01/03/16,12.3,1.4%,3.2%,-0.4%,Abando
338,01/02/16,12.1,0.8%,0.2%,-4.8%,Abando
339,01/01/16,12.0,"1,00%",0.4%,-5.4%,Abando
340,01/12/15,11.9,-1.6%,-0.7%,-6.5%,Abando
341,01/11/15,12.1,"1,00%",-0.2%,-1.5%,Abando
342,01/10/15,12.0,n.d.,-5.7%,-1.2%,Abando
343,01/09/15,12.0,-1.2%,-7.7%,n.d.,Abando
344,01/08/15,12.1,-4.6%,-7.2%,1.2%,Abando
345,01/07/15,12.7,-2.1%,-2.7%,6.1%,Abando
346,01/06/15,13.0,-0.6%,5.2%,5.3%,Abando
347,01/05/15,13.1,"0,00%",2.6%,4.6%,Abando
348,01/04/15,13.1,5.9%,2.7%,4.6%,Abando
349,01/03/15,12.4,-3.2%,-3.2%,-1.2%,Abando
350,01/02/15,12.8,0.2%,3.6%,"2,00%",Abando
351,01/01/15,12.7,-0.2%,4.8%,2.4%,Abando
352,01/12/14,12.8,3.6%,6.3%,3.6%,Abando
353,01/11/14,12.3,1.4%,2.6%,n.d.,Abando
354,01/10/14,12.1,1.2%,1.2%,-2.9%,Abando
355,01/09/14,12.0,n.d.,-2.8%,"-4,00%",Abando
356,01/08/14,12.0,n.d.,-4.1%,"-1,00%",Abando
357,01/07/14,12.0,-2.8%,-4.1%,2.5%,Abando
358,01/06/14,12.3,-1.3%,-1.3%,4.9%,Abando
359,01/05/14,12.5,"0,00%",0.1%,7.7%,Abando
360,01/04/14,12.5,"0,00%",0.6%,6.3%,Abando
361,01/03/14,12.5,0.1%,1.6%,"3,00%",Abando
362,01/02/14,12.5,0.6%,1.6%,1.6%,Abando
363,01/01/14,12.4,"1,00%",-0.6%,"1,00%",Abando
364,01/12/13,12.3,n.d.,-1.5%,-3.3%,Abando
365,01/11/13,12.3,-1.5%,1.5%,-7.7%,Abando
366,01/10/13,12.5,n.d.,6.8%,-9.1%,Abando
367,01/09/13,12.5,3.1%,6.3%,-9.1%,Abando
368,01/08/13,12.1,3.6%,4.4%,-10.7%,Abando
369,01/07/13,11.7,-0.5%,-0.5%,-14.9%,Abando
370,01/06/13,11.8,1.3%,-3.1%,-16.7%,Abando
371,01/05/13,11.6,-1.3%,-5.7%,-19.6%,Abando
372,01/04/13,11.8,-3.1%,-4.4%,-18.6%,Abando
373,01/03/13,12.1,-1.3%,-4.6%,"-15,00%",Abando
374,01/02/13,12.3,n.d.,-7.7%,-14.2%,Abando
375,01/01/13,12.3,-3.3%,-10.5%,-14.7%,Abando
376,01/12/12,12.7,-4.5%,-7.4%,-10.9%,Abando
377,01/11/12,13.3,"-3,00%",-1.8%,-5.9%,Abando
378,01/10/12,13.8,n.d.,n.d.,-2.9%,Abando
379,01/09/12,13.8,1.3%,-2.6%,-3.7%,Abando
380,01/08/12,13.6,-1.3%,"-6,00%","-5,00%",Abando
381,01/07/12,13.8,-2.6%,-4.8%,-3.7%,Abando
382,01/06/12,14.1,-2.3%,-1.2%,-1.8%,Abando
383,01/05/12,14.4,n.d.,0.7%,n.d.,Abando
384,01/04/12,14.4,1.1%,0.1%,n.d.,Abando
385,01/03/12,14.3,-0.4%,n.d.,n.d.,Abando
386,01/02/12,14.3,-0.5%,1.3%,n.d.,Abando
387,01/01/12,14.4,"1,00%",1.8%,n.d.,Abando
388,01/12/11,14.3,0.8%,n.d.,n.d.,Abando
389,01/11/11,14.2,n.d.,-0.8%,n.d.,Abando
390,01/10/11,14.2,-0.8%,-0.8%,n.d.,Abando
391,01/09/11,14.3,n.d.,-0.6%,n.d.,Abando
392,01/08/11,14.3,n.d.,n.d.,n.d.,Abando
393,01/07/11,14.3,-0.6%,n.d.,n.d.,Abando
394,01/06/11,14.4,n.d.,n.d.,n.d.,Abando
395,01/05/11,n.d.,n.d.,n.d.,n.d.,Abando
396,01/04/11,n.d.,n.d.,n.d.,n.d.,Abando
397,01/03/11,n.d.,n.d.,n.d.,n.d.,Abando
398,01/02/11,n.d.,n.d.,n.d.,n.d.,Abando
399,01/01/11,n.d.,n.d.,n.d.,n.d.,Abando
400,01/12/10,n.d.,n.d.,n.d.,n.d.,Abando
401,01/11/10,n.d.,n.d.,n.d.,n.d.,Abando
